Country,Continent,EF Proficiency,GDP (in US$ Millions),Population,Language 1
Afghanistan,Asia,448,20136,32890171,Pashto
Albania,Europe,527,17942,2829741,Albanian
Algeria,Africa,474,193601,45400000,Arabic
Andorra,Europe,,3400,79535,Catalan
Angola,Africa,428,124862,32097671,Portuguese
Antigua and Barbuda,North America,,1621,99337,English
Argentina,South America,,564277,47327407,Spanish
Armenia,Asia,499,14047,2963900,Armenian
Australia,Oceania,,1748334,26008148,English
Austria,Europe,641,479815,9027999,German
Azerbaijan,Asia,451,73369,10164464,Azerbaijani
Bahamas,North America,,12627,393450,English
Bahrain,Asia,476,44169,1501635,Arabic
Bangladesh,Asia,490,396543,172822086,Bengali
Barbados,North America,,5530,288000,English
Belarus,Europe,528,59394,9349645,Belarusian
Belgium,Europe,629,609887,11629213,Dutch
Belize,North America,,1991,430191,English
Benin,Africa,,18387,12506347,French
Bhutan,Asia,,2653,763200,Dzongkha
Bolivia,South America,524,41032,11797257,Spanish
Bosnia and Herzegovina,Europe,,23358,3320954,Bosnian 
Botswana,Africa,,18426,2410338,English
Brazil,South America,497,1833274,214708343,Portuguese
Brunei,Asia,,35555,429999,Malay
Bulgaria,Europe,580,89533,6520314,Bulgarian
Burkina Faso,Africa,,19621,25510181,French
Burundi,Africa,,3431,12574571,French
Cape Verde,Africa,,1997,563198,Portuguese
Cambodia,Asia,423,28020,15552211,Khmer
Cameroon,Africa,428,45713,24348251,English
Canada,North America,,2221218,38706478,English
Central African Republic,Africa,,2645,5633412,French
Chad,Africa,,12938,16818391,Arabic
Chile,South America,516,317594,19678363,Spanish
China,Asia,513,19911593,1412600000,Mandarin
Colombia,South America,465,351281,51049498,Spanish
Comoros,Africa,,1310,758316,Arabic
Congo (Congo-Brazzaville),Africa,,15951,5657000,French
Costa Rica,North America,520,65314,5163038,Spanish
C̫te d'Ivoire,Africa,,61340,26400000,French
Croatia,Europe,617,69459,3888529,Croatian
Cuba,North America,521,NA,11181595,Spanish
Cyprus,Asia,,27726,888005,Greek
Czechia (Czech Republic),Europe,563,296238,10516707,Czech
Democratic Republic of the Congo,Africa,386,49860,96452384,French
Denmark,Europe,636,399100,5883562,Danish
Djibouti,Africa,,3836,976107,Arabic
Dominica,North America,,635,72000,English
Dominican Republic,North America,520,109080,10535535,Spanish
Ecuador,South America,440,115462,17991440,Spanish
Egypt,Africa,455,435621,103360642,Arabic
